Эмитент,Дата начала размещения,Статус,"Состояние бумаги, eng.",Ломбардный список БР,Isin,Код НРД,Гос. рег. номер,"Номер гос. рег., НРД",Наименование,CFI,Страна заемщика,Сектор заемщика,Страна эмиссии,Страна эмитента,Регион эмитента,Сектор эмитента,Эмитент: реестр МСП,Страна риска,"Дюрация, лет","Дюрация модиф., лет",Дата ближ. возм. погаш.,Дата погашения,Дата ближ. оферты,Дата окончания размещения,Дата регистрации,Дата гос. рег-ции/присвоения,Срок обращения,Дата начала 1-го купона,Дата ближ. купона,Дата ближ. объявления неизв. купона,"Доходность эффект., %","Доходность средневзв., %","НКД, в вал. ном.",Z-спред,Номинал,"Цена, %","Объем эмиссии, шт.","Заявл. объем эмиссии, в вал. ном.","Объем в обращении, в вал. ном",Дневной оборот на МБ,Средний дневной оборот за мес.,Объем торгов,Объем торгов за 2 дня,Объем торгов за 5 дней,Объем торгов за 10 дней,Объем торгов за месяц,Кол-во сделок,Кол-во сделок за 2 дня,Кол-во сделок за 5 дней,Кол-во сделок за 10 дней,Кол-во сделок за месяц,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во дней со сделками за месяц,Тип купона,"Ставка купона, %",Кол-во купонов в год,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Субординированность,Гос. гарантия,Индексируемость номинала,Амортизируемость,Конвертация,Вид обеспечения,Старшинство секьюритизации,Закрытая подписка,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Класс эмитента по выручке,Рейтинг агрег. Эксперт РА,Рейтинг эмиссии Эксперт РА,Рейтинг агрег. АКРА,Рейтинг эмиссии АКРА,target,not_isin,cnt_bonds,fininstId,inn,ogrn,Encumbrance
АС ФИНАНС,2018-12-18,В обращении,Placed,0.0,RU000A0ZZYF7,RU000A0ZZYF7,4B02-01-00398-R-001P,4B02-01-00398-R-001P,АС ФИНАНС-001Р-01,DBVUFB,RU,Фин.сервис - Лизинг,RU,RU,Свердловская область,Фин.сервис - Лизинг,Малое предприятие,RU,0.7123,0.7395,2022-11-27,2023-11-22,,2018-12-21,2018-12-04,2018-12-04,Среднесрочные,,2023-05-26,,16.5217,5.3651,1.19,0.0,1000.0,99.8,100000,100000000.0,100000000.0,2896.0,152.0,0.0,0.0,0.0,2896.0,2896.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,Переменный,0.5,4.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,ДА,НЕТ,Малый,,,,,0,0,1,24362,6672144910,1026605401646,1
Авангард АКБ,2019-03-28,В обращении,Placed,0.0,RU000A1007Q1,RU000A1007Q1,4B020202879B001P,4B020202879B001P,Авангард АКБ-БО-001P-02,DBVUFB,RU,Банки,RU,RU,г.Москва,Банки,,RU,0.0575,,2023-09-28,2029-02-28,2023-04-04,2019-09-27,2019-03-26,2019-03-26,Долгосрочные,,2023-03-28,,0.0174,,,0.0,1000.0,,3000000,3000000000.0,3000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Переменный,0.01,12.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации кредитных организаций-резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,BB+(RU),BB+(RU),0,0,1,11788,7702021163,1027700367507,0
Авангард-Агро,2022-10-17,В обращении,Placed,0.0,RU000A105AS5,RU000A105AS5,4B02-03-42849-A-001P,4B02-03-42849-A-001P,Авангард-Агро-БО-001P-03,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,Орловская область,Пищевая промышленность и с/х,,RU,0.5945,0.548,2023-10-16,2032-10-04,2023-10-23,2022-11-25,2022-08-29,2022-08-29,Долгосрочные,,2023-04-17,,9.6439,8.9921,12.08,0.0,1000.0,100.17,3000000,3000000000.0,3000000000.0,3005.0,1682.0,0.0,3005.1,8013.6,10017.0,31962.1,0.0,1.0,2.0,3.0,7.0,1.0,2.0,3.0,5.0,Переменный,9.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,,,BBB(RU),,0,0,3,29875,5722033117,1045736000089,0
Автодор ГК,2023-02-16,В обращении,Placed,0.0,RU000A105V82,RU000A105V82,4B02-03-00011-T-003P,4B02-03-00011-T-003P,Автодор ГК-003Р-03,DBFUFB,RU,Строительство,RU,RU,г.Москва,Строительство,,RU,2.5973,2.3496,2026-02-12,2026-02-12,,2023-02-16,2023-02-10,2023-02-10,Краткосрочные,,2023-08-17,,10.5401,10.5528,5.36,1.921,1000.0,100.05,4000000,4000000000.0,4000000000.0,13264937.0,61421592.0,13264936.6,71485489.8,172044285.7,686819029.3,798480698.1,202.0,555.0,1419.0,1921.0,2249.0,2.0,5.0,10.0,13.0,Постоянный,10.3,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruAA+,ruAA+,AA(RU),AA(RU),0,0,61,28501,7717151380,1097799013652,0
Автоэкспресс,2022-10-06,В обращении,Placed,0.0,RU000A1059V2,RU000A1059V2,4CDE-01-00557-R-003P,4CDE-01-00557-R-003P,Автоэкспресс-3П-КО01,DBVUFB,RU,Ритейл,RU,RU,Новосибирская область,Ритейл,,RU,,,2023-10-05,2025-10-02,2023-10-10,2022-12-26,2022-09-05,2022-09-05,Краткосрочные,,2023-04-06,,,,,,1000.0,,200000,200000000.0,69066000.0,,,,,,,,,,,,,,,,,Переменный,11.0,4.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Средний,,,,,0,0,12,18506,5432001836,1175476061650,0
АгроКомплекс,2012-12-10,Дефолт,Placed,0.0,RU000A0JTEM2,RU000A0JTEM2,4B02-01-00173-R,4B02-01-00173-R,АгроКомплекс-1-боб,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,г.Москва,Пищевая промышленность и с/х,,RU,0.326,,2015-12-10,2022-12-08,,2012-12-10,2012-11-26,2012-11-26,Краткосрочные,,,,,,,,1000.0,,1000000,1000000000.0,1000000000.0,,,,,,,,,,,,,,,,,Переменный,0.0,1.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,,,,,,1,0,1,28758,7705800231,1077757887790,0
АгроКубань Ресурс,2022-12-28,В обращении,Placed,0.0,RU000A105Q14,RU000A105Q14,4CDE-01-00082-L,4CDE-01-00082-L,АгроКубань Ресурс-КО-01,DBFUFB,RU,Пищевая промышленность и с/х,RU,RU,Краснодарский край,Пищевая промышленность и с/х,,RU,,,2025-12-24,2025-12-24,,2022-12-28,2022-12-26,2022-12-26,Краткосрочные,,2023-06-28,,,,,0.0,1000.0,,1900000,1900000000.0,1900000000.0,,,,,,,,,,,,,,,,,Постоянный,9.5,2.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Оферта,416,0,C,НЕТ,НЕТ,Крупный,ruA-,,,,0,0,1,28884,2356040994,1022304973734,0
Агротек,2023-01-12,В обращении,Placed,0.0,RU000A105QZ6,RU000A105QZ6,4B02-01-00094-L,4B02-01-00094-L,Агротек-БО-01,DBFGFB,RU,Пищевая промышленность и с/х,RU,RU,Камчатский край,Пищевая промышленность и с/х,,RU,2.2548,1.9425,2026-04-09,2026-04-09,,2023-01-13,2022-12-26,2022-12-26,Среднесрочные,,2023-04-13,,16.0794,16.0989,25.15,0.0,1000.0,102.99,135000,135000000.0,135000000.0,1061382.0,1054713.0,1061381.8,1417177.9,3553517.2,6633421.4,20039560.8,94.0,171.0,424.0,877.0,2218.0,2.0,5.0,10.0,19.0,Фиксированный,17.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Поручительство,416,0,M,НЕТ,ДА,Малый,,,,,0,0,1,9431,4100006268,1024101024694,1
Агрохолдинг Солтон,2021-04-30,В обращении,Placed,0.0,RU000A1032J4,RU000A1032J4,4B02-01-00030-L,4B02-01-00030-L,АгрохолдингСолтон-1-боб,DBFUFB,RU,Пищевая промышленность и с/х,RU,RU,Алтайский край,Пищевая промышленность и с/х,Малое предприятие,RU,1.0329,0.9314,2024-04-14,2024-04-14,,2021-04-30,2021-04-28,2021-04-28,Краткосрочные,,2023-03-21,,10.8899,11.2656,5.7,,1000.0,102.72,60000,60000000.0,60000000.0,142285.0,87000.0,142285.2,455234.7,694264.1,1084040.7,1653006.4,19.0,66.0,106.0,185.0,319.0,2.0,5.0,10.0,19.0,Постоянный,13.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,ДА,НЕТ,Малый,,,,,0,0,1,16501,2274007989,1042201214054,1
Азот Кемерово,2020-12-16,В обращении,Placed,0.0,RU000A102HS7,RU000A102HS7,4CDE-01-10051-F-001P,4CDE-01-10051-F-001P,Азот КАО-001КО-01,DBVUFB,RU,"Химпром, минудобрения",RU,RU,Кемеровская область,"Химпром, минудобрения",,RU,,,2025-03-28,2025-03-28,,2020-12-16,2020-12-01,2020-12-01,Среднесрочные,,2023-03-30,,,,,,1000.0,,7388890,7388890000.0,7388890000.0,,,,,,,,,,,,,,,,,Плавающий,9.5,4.0,RUB,Корп,Коммерческие,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,1,C,НЕТ,НЕТ,Крупный,,,,,0,0,3,26762,4205000908,1024200705077,1
АйДи Коллект,2022-02-16,В обращении,Placed,0.0,RU000A104JV3,RU000A104JV3,4-02-00597-R,4-02-00597-R,АйДи Коллект-02-об,DBFUFB,RU,Прочие,RU,RU,г.Москва,Прочие,,RU,1.6301,1.3829,2025-01-31,2025-01-31,,2022-07-26,2021-10-26,2021-10-26,Краткосрочные,,2023-03-13,,17.8766,17.9052,10.85,0.0,1000.0,99.9,800000,800000000.0,547144000.0,388462.0,853609.0,388461.5,645178.3,2352558.3,5687493.2,16218587.4,35.0,63.0,167.0,445.0,1100.0,2.0,5.0,10.0,19.0,Постоянный,16.5,12.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Средний,ruBB,,,,0,0,2,16608,7730233723,1177746355225,1
Айс стим Рус,2017-08-23,Дефолт,Placed,0.0,RU000A0JXZM9,RU000A0JXZM9,4B02-01-33722-D-002P,4B02-01-33722-D-002P,СибирскГостинец-2Р-01-боб,DBFUFB,RU,Ритейл,RU,RU,Псковская область,Ритейл,Малое предприятие,RU,0.0384,,2020-08-19,2020-08-19,,2017-11-16,2017-07-21,2017-07-21,Краткосрочные,,,,,,,,100.0,,50000,5000000.0,869400.0,,,,,,,,,,,,,,,,,Постоянный,0.0,2.0,USD,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Микро,,,,,1,0,1,31219,8602253571,1158602000479,0
Аквилон-Лизинг,2021-11-16,В обращении,Placed,0.0,RU000A104107,RU000A104107,4B02-01-00057-L-001P,4B02-01-00057-L-001P,Аквилон-Лизинг-001Р-01,DBFUFB,RU,Фин.сервис - Лизинг,RU,RU,Пензенская область,Фин.сервис - Лизинг,Малое предприятие,RU,1.2137,1.0517,2024-11-12,2024-11-12,,2021-11-16,2021-11-08,2021-11-08,Краткосрочные,,2023-05-16,,15.3981,15.6771,7.62,0.0,1000.0,98.43,100000,100000000.0,100000000.0,265964.0,241669.0,265964.1,367143.3,1504612.2,2500934.6,4591720.0,62.0,87.0,260.0,449.0,880.0,2.0,5.0,10.0,19.0,Постоянный,13.25,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Малый,,,BB(RU),,0,0,1,31328,5837026589,1065837003726,1
Акрон,2019-10-25,В обращении,Placed,1.0,RU000A100YU2,RU000A100YU2,4B02-03-00207-A-001P,4B02-03-00207-A-001P,Акрон-001Р-03-боб,DBFUFB,RU,"Химпром, минудобрения",RU,RU,Новгородская область,"Химпром, минудобрения",,RU,0.1233,0.1161,2023-04-21,2023-04-21,,2019-10-25,2019-10-22,2019-10-22,Среднесрочные,,2023-04-21,,6.1867,7.1969,27.21,0.0219,1000.0,100.13,10000000,10000000000.0,10000000000.0,175011.0,459300.0,175010.9,411904.3,3160427.5,3933980.5,8726712.4,25.0,49.0,200.0,357.0,641.0,2.0,5.0,10.0,19.0,Постоянный,7.25,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruAA-,,,,0,0,4,21659,5321029508,1025300786610,0
Альфа-Банк,2023-02-16,В обращении,Placed,0.0,RU000A105UW5,RU000A105UW5,4B02-21-01326-B-002P,4B02-21-01326-B-002P,Альфа-Банк-002Р-21-боб,DBFUFB,RU,Банки,RU,RU,г.Москва,Банки,,RU,1.8219,1.6652,2025-02-17,2025-02-17,,2023-02-16,2023-02-13,2023-02-13,Краткосрочные,,2023-08-18,,9.413,9.4189,4.87,1.263,1000.0,100.25,10000000,10000000000.0,10000000000.0,1352264.0,9393704.0,1352264.0,14471920.8,54785123.5,91015799.6,122118157.4,11.0,35.0,132.0,327.0,463.0,2.0,5.0,10.0,13.0,Постоянный,9.35,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации кредитных организаций-резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruAA+,,AA+(RU),AA+(RU),0,0,39,6317,7728168971,1027700067328,1
Антерра,2022-06-24,В обращении,Placed,0.0,RU000A104V59,RU000A104V59,4B04-01-00074-L,4B04-01-00074-L,Антерра-БО-01,DBFUFB,RU,"Путешествия, досуг",RU,RU,г.Москва,"Путешествия, досуг",,RU,,,2024-06-21,2024-06-21,,2023-01-06,2022-04-20,2022-04-20,Краткосрочные,,2023-03-24,,,,,0.0,1000.0,,150000,150000000.0,150000000.0,,,,,,,,,,,,,,,,,Постоянный,18.5,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Малый,ruB+,,,,0,0,1,13764,7730176955,1157746569672,1
Аптечная сеть 36.6,2020-06-16,В обращении,Placed,0.0,RU000A101T72,RU000A101T72,4B02-01-07335-A-002P,4B02-01-07335-A-002P,Аптечная сеть36.6-002P-01,DBVUFB,RU,Фармацевтика,RU,RU,г.Москва,Фармацевтика,,RU,0.2685,,2023-06-13,2030-06-04,2023-06-16,2020-06-16,2020-06-03,2020-06-03,Долгосрочные,,2023-06-13,,585.3683,,,,1000.0,,10000000,10000000000.0,10000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Плавающий,10.5,2.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Микро,,,,,0,0,2,23228,7722266450,1027722000239,0
Арагон,2019-07-23,В обращении,Placed,0.0,RU000A100ME1,RU000A100ME1,4B02-02-00350-R-001P,4B02-02-00350-R-001P,Арагон-БО-П02,DBVUFB,RU,Прочие,RU,RU,Новосибирская область,Прочие,,RU,1.2466,,2024-07-16,2029-07-10,2024-07-19,2019-07-23,2019-07-16,2019-07-16,Долгосрочные,,2023-04-18,,67.204,,,,1000.0,,300000,300000000.0,300000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Плавающий,13.5,4.0,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,,,,,0,0,3,28121,5433158068,1055475001053,0
