Ломбардный список БР,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во купонов в год,Амортизируемость,Конвертация,Закрытая подписка,target,not_isin,Encumbrance,Дата начала размещения_dow,Дата ближ. возм. погаш._dow,Дата погашения_dow,Дата окончания размещения_dow,Дата регистрации_dow,Дата гос. рег-ции/присвоения_dow,Дата ближ. купона_year,Дата ближ. купона_dow,Дата начала размещения_day,Дата ближ. возм. погаш._year,Дата ближ. возм. погаш._day,Дата погашения_year,Дата погашения_day,Дата окончания размещения_day,Дата регистрации_day,Дата гос. рег-ции/присвоения_day,Дата ближ. купона_day,Дата ближ. возм. погаш._month,Дата ближ. купона_month,Дата гос. рег-ции/присвоения_month,Дата гос. рег-ции/присвоения_year,Дата начала размещения_month,Дата начала размещения_year,Дата окончания размещения_month,Дата окончания размещения_year,Дата погашения_month,Дата регистрации_month,Дата регистрации_year,Статус,"Состояние бумаги, eng.",CFI,Страна заемщика,Сектор заемщика,Регион эмитента,Сектор эмитента,Срок обращения,Тип купона,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Гос. гарантия,Индексируемость номинала,Вид обеспечения,Старшинство секьюритизации,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Рейтинг агрег,pca_1,pca_2,pca_3,target
0,2,5,10,4,1,0,0,0,0,1,2,2,2,3,6,6,2023,2,11,2026,8,2026,8,12,25,25,12,4,4,12,2022,1,2023,1,2023,4,12,2022,В обращении,Placed,DBFGFB,RU,Пищевая промышленность и с/х,Камчатский край,Пищевая промышленность и с/х,Среднесрочные,Фиксированный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,ДА,NAN,-637699.1073308309,-2018.9747657966368,-15.707183205145034,0
0,2,5,10,12,0,0,0,0,0,1,3,5,5,3,1,1,2023,0,29,2024,13,2024,13,29,27,27,20,4,3,4,2021,4,2021,4,2021,4,4,2021,В обращении,Placed,DBFUFB,RU,Пищевая промышленность и с/х,Алтайский край,Пищевая промышленность и с/х,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,ДА,НЕТ,NAN,-637699.1073132823,-2020.263200405216,-15.704532076799865,0
0,2,5,10,4,1,0,1,0,0,1,1,3,3,1,0,0,2023,2,15,2025,27,2025,27,15,30,30,29,3,3,11,2020,12,2020,12,2020,3,11,2020,В обращении,Placed,DBVUFB,RU,"Химпром, минудобрения",Кемеровская область,"Химпром, минудобрения",Среднесрочные,Плавающий,RUB,Корп,Коммерческие,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,C,НЕТ,НЕТ,NAN,-637699.1073192583,-2019.8285164201152,-15.580226259391331,0
0,2,5,10,12,0,0,1,0,0,1,1,3,3,0,0,0,2023,6,15,2025,30,2025,30,25,25,25,12,1,3,10,2021,2,2022,7,2022,1,10,2021,В обращении,Placed,DBFUFB,RU,Прочие,г.Москва,Прочие,Краткосрочные,Постоянный,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,ruBB,-637699.1073371273,-2018.5091462841585,-15.72563273805995,0
0,2,5,10,2,0,0,0,1,0,0,1,1,1,2,3,3,2023,6,22,2020,18,2020,18,15,20,20,19,8,3,7,2017,8,2017,11,2017,8,7,2017,Дефолт,Placed,DBFUFB,RU,Ритейл,Псковская область,Ритейл,Краткосрочные,Постоянный,USD,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-638599.1073191303,-2019.8407024613157,-15.58027579350262,1
0,2,5,10,4,1,0,0,0,0,1,0,0,0,0,6,6,2023,0,15,2024,11,2024,11,15,7,7,15,11,5,11,2021,11,2021,11,2021,11,11,2021,В обращении,Placed,DBFUFB,RU,Фин.сервис - Лизинг,Пензенская область,Фин.сервис - Лизинг,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,BB(RU),-637699.1073289159,-2019.1127723293957,-15.735073773219083,0
1,2,5,10,2,0,0,0,0,0,0,3,3,3,3,0,0,2023,3,24,2023,20,2023,20,24,21,21,20,4,4,10,2019,10,2019,10,2019,4,10,2019,В обращении,Placed,DBFUFB,RU,"Химпром, минудобрения",Новгородская область,"Химпром, минудобрения",Среднесрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruAA-,-637699.1072981106,-2021.3854848797487,-15.743714522589011,0
0,2,5,10,4,0,0,0,0,0,1,3,3,3,3,1,1,2023,3,23,2024,20,2024,20,5,19,19,23,6,3,4,2022,6,2022,1,2023,6,4,2022,В обращении,Placed,DBFUFB,RU,"Путешествия, досуг",г.Москва,"Путешествия, досуг",Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,ruB+,-637699.1073192167,-2019.8284820945357,-15.580196523906052,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2023,0,15,2023,12,2030,3,15,2,2,12,6,6,6,2020,6,2020,6,2020,6,6,2020,В обращении,Placed,DBVUFB,RU,Фармацевтика,г.Москва,Фармацевтика,Долгосрочные,Плавающий,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1082011127,-1955.452133098473,54.99787632655283,0
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,22,2024,15,2029,9,22,15,15,17,7,4,7,2019,7,2019,7,2019,7,7,2019,В обращении,Placed,DBVUFB,RU,Прочие,Новосибирская область,Прочие,Долгосрочные,Плавающий,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.10740244,-2013.751779033769,-8.918013528144328,0
0,2,5,10,12,1,0,0,0,0,0,2,4,4,6,6,6,2023,6,8,2026,23,2026,23,12,22,22,12,1,3,1,2023,2,2023,2,2023,1,1,2023,В обращении,Placed,DBFUFB,RU,Фин.сервис - Лизинг,г.Москва,Фин.сервис - Лизинг,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,ДА,НЕТ,ruBB-,-637699.1073257484,-2019.3493122942882,-15.6984326996904,0
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,2,2027,0,7,2021,14,2027,22,7,19,19,22,6,3,3,2014,4,2014,4,2014,3,3,2014,Дефолт,Placed,DBVGFB,RU,Финанс.сервисы,г.Москва,Финанс.сервисы,Долгосрочные,Плавающий,RUB,Корп,Классические,Нет,bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-637699.1073192294,-2019.8284971685582,-15.580086997280008,1
0,2,5,10,4,1,0,1,0,0,0,2,2,2,3,1,1,2023,2,22,2024,18,2024,18,21,7,7,22,12,3,12,2021,12,2021,4,2022,12,12,2021,В обращении,Placed,DBFGFB,RU,Недвижимость,Удмуртская Республика,Недвижимость,Краткосрочные,Постоянный,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,ruB,-637699.1073356031,-2018.6216859983965,-15.742609604661293,0
0,2,5,10,2,0,0,0,0,0,1,1,1,1,1,1,1,2023,1,23,2022,20,2026,17,23,23,23,21,9,3,2,2021,3,2021,3,2021,3,2,2021,В обращении,Placed,DBVUFB,RU,Строительство,Свердловская область,Строительство,Среднесрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,BBB+(RU),-637699.1073162943,-2020.043287079455,-15.67450153481654,0
0,2,5,10,2,0,0,0,0,0,0,6,6,6,6,3,3,2023,6,29,2024,16,2024,16,29,20,20,18,6,6,3,2014,6,2014,6,2014,6,3,2014,В обращении,Placed,DBVXFB,RU,Металлургический,Челябинская область,Металлургический,Долгосрочные,Плавающий,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,NAN,-637699.1073165536,-2020.0246689547837,-15.69522346854348,0
0,2,5,10,4,0,0,0,0,0,0,2,2,2,6,6,6,2023,2,29,2024,25,2024,25,28,12,12,29,9,3,9,2021,9,2021,11,2021,9,9,2021,В обращении,Placed,DBFUFB,RU,Нефтегазовый,г.Москва,Нефтегазовый,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,M,ДА,НЕТ,'ruBBB,-637699.107324327,-2019.470648486797,-15.660207188334835,0
0,2,5,10,4,0,0,1,1,1,0,2,5,5,2,0,6,2023,6,22,2034,22,2034,22,22,20,25,19,7,3,12,2022,7,2009,7,2009,7,7,2009,Дефолт,Placed,DBFUFB,RU,Финанс.сервисы,Республика Татарстан,Финанс.сервисы,Долгосрочные,Дисконт,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-638698.10731912,-2019.84205120773,-15.580291844241849,1
0,2,5,10,4,0,0,1,1,1,0,2,5,5,2,0,6,2023,6,22,2034,22,2034,22,22,20,25,19,7,3,12,2022,7,2009,7,2009,7,7,2009,Дефолт,Placed,DBFUFB,RU,Финанс.сервисы,Республика Татарстан,Финанс.сервисы,Долгосрочные,Дисконт,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-638698.10731912,-2019.84205120773,-15.580291844241849,1
0,2,5,10,4,0,0,1,1,1,0,2,5,5,2,0,6,2023,6,22,2034,22,2034,22,22,20,25,19,7,3,12,2022,7,2009,7,2009,7,7,2009,Дефолт,Placed,DBFUFB,RU,Финанс.сервисы,Республика Татарстан,Финанс.сервисы,Долгосрочные,Дисконт,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-638698.10731912,-2019.84205120773,-15.580291844241849,1
1,2,5,10,2,0,0,0,0,0,0,0,5,5,0,3,3,2023,6,17,2023,17,2023,17,17,13,13,18,6,6,6,2019,6,2019,6,2019,6,6,2019,В обращении,Placed,DBFUFB,RU,Нефтегазовый,г.Москва,Нефтегазовый,Среднесрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,C,НЕТ,НЕТ,ruAA,-637699.1073044342,-2020.9275143075424,-15.6994469676994,0
0,1,4,8,4,1,0,0,0,0,0,6,5,5,6,2,2,2023,3,2,2045,9,2045,9,2,14,14,9,12,3,11,2018,12,2018,12,2018,12,11,2018,В обращении,Placed,DGFSFB,RU,Банки,г.Москва,Фин.сервис - ИА,Долгосрочные,Постоянный,RUB,Корп,Классические,Да,bearer,Подписка открытая,Облигации прочих резидентов,Портфель ипотеки,NAN,НЕТ,НЕТ,Залог,Старший обеспеченный,C,НЕТ,НЕТ,ruA,-637699.1073044393,-2020.9165071645052,-15.496625656960001,0
0,2,5,10,4,0,0,1,1,1,0,2,5,5,2,0,6,2023,6,22,2034,22,2034,22,22,20,25,19,7,3,12,2022,7,2009,7,2009,7,7,2009,Дефолт,Placed,DBFUFB,RU,Финанс.сервисы,Республика Татарстан,Финанс.сервисы,Долгосрочные,Дисконт,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-638698.10731912,-2019.84205120773,-15.580291844241849,1
0,2,5,10,4,0,0,1,0,1,0,3,6,6,3,2,6,2023,6,3,2034,3,2034,3,17,2,25,19,9,3,12,2022,9,2009,9,2009,9,9,2009,В обращении,Placed,DBFUFB,RU,Технологии,Республика Татарстан,Технологии,Долгосрочные,Дисконт,RUB,Корп,Классические,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Поручительство,416,M,НЕТ,НЕТ,NAN,-638698.10731912,-2019.84205120773,-15.580291844241849,0
0,2,5,10,2,1,0,0,0,0,1,1,1,1,1,3,3,2023,1,27,2025,23,2025,23,27,22,22,28,9,3,9,2022,9,2022,9,2022,9,9,2022,В обращении,Placed,DBFUFB,RU,Фин.сервис - Лизинг,г.Санкт-Петербург,Фин.сервис - Лизинг,Краткосрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Оферта,416,C,НЕТ,НЕТ,ruA+,-637699.1073149217,-2020.1509633411983,-15.660879102513888,0
0,1,2,2,1,0,0,0,0,0,0,2,5,5,2,0,0,2023,6,24,2024,23,2024,23,24,1,1,26,11,11,11,2021,11,2021,11,2021,11,11,2021,В обращении,Placed,DBFUFB,RU,Банки,г.Москва,Банки,Краткосрочные,Прочий,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации кредитных организаций-резидентов,NAN,Структурно-инвестиционные,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruAA,-637699.1073182151,-2019.9055711939832,-15.361340856892705,0
0,2,5,10,4,1,0,0,0,0,0,0,0,0,0,0,0,2023,0,29,2025,23,2025,23,29,22,22,27,6,3,6,2020,6,2020,6,2020,6,6,2020,В обращении,Placed,DBFUFB,RU,"Химпром, минудобрения",Республика Башкортостан,"Химпром, минудобрения",Среднесрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruA+,-637699.1073111447,-2020.4269099255641,-15.661335305772576,0
1,1,2,4,4,1,0,0,0,0,0,2,2,2,2,6,6,2023,2,23,2025,17,2025,17,23,30,30,22,9,3,8,2020,9,2020,9,2020,9,8,2020,В обращении,Placed,DBFXFR,RU,Государственные,Белгородская область,Государственные,Среднесрочные,Постоянный,RUB,Муни,Классические,"Да, после тестирования",certificated registered,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,G,НЕТ,НЕТ,AA-(RU),-637699.1073067539,-2020.7447638224992,-15.800830799078392,0
0,2,5,10,2,1,0,0,0,0,0,0,0,0,0,6,6,2023,0,11,2027,5,2027,5,11,3,3,10,7,7,7,2022,7,2022,7,2022,7,7,2022,В обращении,Placed,DBFUFB,RU,Пищевая промышленность и с/х,Московская область,Пищевая промышленность и с/х,Среднесрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruA+,-637699.1073107384,-2020.4664575010236,-15.649311776293274,0
0,0,0,0,4,1,0,0,0,0,0,3,3,3,3,3,3,2023,3,23,2023,21,2026,17,23,16,16,23,12,3,12,2021,12,2021,12,2021,12,12,2021,В обращении,Placed,DBFUFB,RU,Недвижимость,г.Москва,Недвижимость,Среднесрочные,Постоянный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,'ruBBB+,-637699.1073412701,-2018.218098291597,-13.81457062862618,0
0,2,5,10,4,0,0,0,0,0,0,2,2,2,2,6,6,2023,2,20,2024,17,2037,1,20,10,10,19,7,4,7,2022,7,2022,7,2022,7,7,2022,В обращении,Placed,DBVUFB,RU,Фармацевтика,г.Москва,Фармацевтика,Долгосрочные,Переменный,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,C,НЕТ,НЕТ,ruA,-637699.1073090043,-2020.5819310935253,-15.637288318544734,0
0,2,5,10,1,0,0,1,0,0,0,6,1,1,2,2,2,2023,1,4,2022,29,2023,5,30,31,31,5,3,9,8,2016,9,2016,11,2016,9,8,2016,В обращении,Redeemed,DBFXFR,RU,Прочие,г.Москва,Прочие,Среднесрочные,Прочий,RUB,Корп,Классические,Нет,uncertificated registered,Подписка закрытая,Облигации прочих резидентов,NAN,NAN,НЕТ,НЕТ,Необеспеченные,416,M,НЕТ,НЕТ,NAN,-637699.1073192171,-2019.8284855485672,-15.580191299437155,0
